year,dateTime,bias,crime_Category,offense1,description,borough,precinct,month_bin,index_
2020,2020-09-27,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,13,21,1
2020,2020-09-29,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,19,21,1
2020,2020-09-24,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Manhattan,25,21,1
2020,2020-02-12,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,32,14,1
2020,2020-10-22,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,66,22,1
2020,2020-02-26,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,70,14,1
2020,2020-10-23,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,84,22,1
2020,2020-07-04,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Queens,112,19,1
2020,2020-01-14,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Staten,120,13,1
2021,2021-04-20,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Manhattan,18,28,1
2021,2021-06-19,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, By Fire",Manhattan,20,30,1
2021,2021-04-25,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Bronx,50,28,1
2021,2021-04-26,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Bronx,50,28,1
2021,2021-04-29,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Bronx,50,28,1
2021,2021-04-10,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,71,28,1
2021,2021-11-12,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Brooklyn,79,35,1
2021,2021-10-15,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Queens,109,34,1
2022,2022-08-26,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Manhattan,5,44,1
2022,2022-07-31,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,6,43,1
