rDate,year,bias,offense_Category,crime_Category,offense,description,borough,precinct,borough_add,arrest_id,dateTime,month,dayYear,toDate,month_bin,offense1,index_
2023-03-22T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35683396,2023-03-22,3,81,256,51,Misc. Penal Law,1
2023-03-22T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35683398,2023-03-22,3,81,256,51,Misc. Penal Law,1
2023-03-22T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35683397,2023-03-22,3,81,256,51,Misc. Penal Law,1
2023-03-31T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35713598,2023-03-31,3,90,256,51,Misc. Penal Law,1
2023-01-23T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,114,Patrol Boro Queens_N,Q35675328,2023-01-23,1,23,256,49,Misc. Penal Law,1
2024-03-06T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,1,Patrol Boro Man_S,M36690054,2024-03-06,3,66,256,63,Misc. Penal Law,1
2024-02-10T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,13,Patrol Boro Man_S,M36687528,2024-02-10,2,41,256,62,Misc. Penal Law,1
2024-06-14T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,17,Patrol Boro Man_S,M36701600,2024-06-14,6,166,256,66,Misc. Penal Law,1
2024-04-05T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36693874,2024-04-05,4,96,256,64,Misc. Penal Law,1
2024-04-12T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696517,2024-04-12,4,103,256,64,Misc. Penal Law,1
2024-04-12T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696513,2024-04-12,4,103,256,64,Misc. Penal Law,1
2024-04-25T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36693870,2024-04-25,4,116,256,64,Misc. Penal Law,1
2024-05-14T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696512,2024-05-14,5,135,256,65,Misc. Penal Law,1
2024-05-16T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696528,2024-05-16,5,137,256,65,Misc. Penal Law,1
2024-03-01T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,61,Patrol Boro Bklyn_S,K36691405,2024-03-01,3,61,256,63,Misc. Penal Law,1
2024-03-05T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,61,Patrol Boro Bklyn_S,K36691407,2024-03-05,3,65,256,63,Misc. Penal Law,1
